MRC: Abitibi, RMSE: 1926.701783076384
Best p: 2, Best q: 1
MRC: Abitibi-Ouest, RMSE: 1614.0238971706622
Best p: 2, Best q: 2
MRC: La Vallée-de-l'Or, RMSE: 5055.552145165149
Best p: 2, Best q: 1
MRC: Témiscamingue, RMSE: 1529.3264946383701
Best p: 2, Best q: 1
MRC: Kamouraska, RMSE: 518.5011743934687
Best p: 2, Best q: 0
MRC: La Matanie, RMSE: 601.2969808663254
Best p: 0, Best q: 1
MRC: La Matapédia, RMSE: 443.5989192452137
Best p: 2, Best q: 0
MRC: La Mitis, RMSE: 566.2438734969737
Best p: 0, Best q: 2
MRC: Les Basques, RMSE: 231.56472807588202
Best p: 1, Best q: 1
MRC: Rimouski-Neigette, RMSE: 2296.024993639178
Best p: 2, Best q: 0
