,index,tavg,tmin,tmax,prcp,wspd,pres,tsun,mrc,time
0,2016-01-01,-12.1,,,,,,,Abitibi,
1,2016-02-01,-10.7,,,,,,,Abitibi,
2,2016-03-01,-10.7,,,,,,,Abitibi,
3,2016-04-01,0.8,,,,,,,Abitibi,
4,2016-05-01,13.8,,,,,,,Abitibi,
5,2016-06-01,14.7,,,,,,,Abitibi,
6,2016-07-01,17.0,,,,,,,Abitibi,
7,2016-08-01,17.5,,,,,,,Abitibi,
8,2016-09-01,13.0,,,,,,,Abitibi,
9,2016-10-01,6.4,0.9,9.8,,,,,Abitibi,
10,2016-11-01,1.5,-2.5,4.0,,,,,Abitibi,
11,2016-12-01,-13.2,-15.7,-7.1,,,,,Abitibi,
12,2017-01-01,-13.2,-17.1,-7.4,,,,,Abitibi,
13,2017-02-01,-13.0,-19.0,-6.3,,,,,Abitibi,
14,2017-03-01,-11.6,-18.9,-4.2,,,,,Abitibi,
15,2017-04-01,0.5,-4.4,6.6,,,,,Abitibi,
16,2017-05-01,9.9,2.2,12.9,,,,,Abitibi,
17,2017-06-01,14.7,7.6,20.5,53.1,,,,Abitibi,
18,2017-07-01,18.0,8.4,23.9,,,,,Abitibi,
19,2017-08-01,15.2,7.5,19.2,,,,,Abitibi,
20,2017-09-01,14.4,7.0,19.4,,,,,Abitibi,
21,2017-10-01,7.4,2.9,13.2,,,,,Abitibi,
22,2017-11-01,-3.3,-10.8,-1.6,,,,,Abitibi,
23,2017-12-01,-15.9,-20.5,-11.5,,,,,Abitibi,
24,2018-01-01,-15.8,-22.8,-11.4,,,,,Abitibi,
25,2018-02-01,-14.4,-21.9,-7.8,,,,,Abitibi,
26,2018-03-01,-3.3,-13.7,-2.2,,,,,Abitibi,
27,2018-04-01,-2.1,-10.5,2.0,,,,,Abitibi,
28,2018-05-01,9.6,1.7,17.8,,,,,Abitibi,
29,2018-06-01,15.3,5.6,21.3,80.5,,,,Abitibi,
30,2018-07-01,20.0,12.7,26.4,,,,,Abitibi,
31,2018-08-01,19.8,9.8,23.2,,,,,Abitibi,
32,2018-09-01,11.8,6.0,17.5,,,,,Abitibi,
33,2018-10-01,2.7,-2.3,3.9,,,,,Abitibi,
34,2018-11-01,-5.9,-10.5,-3.1,,,,,Abitibi,
35,2018-12-01,-13.0,-15.4,-6.2,,,,,Abitibi,
36,2019-01-01,-19.1,-26.3,-13.7,,,,,Abitibi,
37,2019-02-01,-17.7,-24.0,-10.0,,,,,Abitibi,
38,2019-03-01,-9.4,-16.7,-3.3,,,,,Abitibi,
39,2019-04-01,-0.9,-6.0,4.0,,,,,Abitibi,
40,2019-05-01,7.4,,,,,,,Abitibi,
41,2019-06-01,14.8,6.4,20.8,,,,,Abitibi,
42,2019-07-01,21.0,10.6,25.6,,,,,Abitibi,
43,2019-08-01,16.3,8.6,22.0,,,,,Abitibi,
44,2019-09-01,11.3,5.1,16.3,,,,,Abitibi,
45,2019-10-01,8.3,1.3,9.7,,,,,Abitibi,
46,2019-11-01,-5.8,-9.8,-3.6,,,,,Abitibi,
47,2019-12-01,-11.7,-16.8,-6.5,,,,,Abitibi,
48,2020-01-01,-7.5,-17.8,-7.3,,,,,Abitibi,
49,2020-02-01,-11.6,-17.7,-6.5,,,,,Abitibi,
50,2020-03-01,-8.9,-13.3,0.2,,,,,Abitibi,
51,2020-04-01,0.3,-7.1,4.9,,,,,Abitibi,
52,2020-05-01,8.2,0.8,13.6,,,,,Abitibi,
53,2020-06-01,16.5,7.9,21.8,,,,,Abitibi,
54,2020-07-01,19.7,12.9,,,,,,Abitibi,
55,2020-08-01,18.8,8.7,21.6,65.6,,,,Abitibi,
56,2020-09-01,11.2,5.4,16.1,,,,,Abitibi,
57,2020-10-01,2.5,-3.1,5.9,,,,,Abitibi,
58,2020-11-01,0.6,-4.6,3.0,,,,,Abitibi,
59,2020-12-01,-3.7,-15.8,-6.4,,,,,Abitibi,
60,2021-01-01,-8.1,-16.1,-7.5,,,,,Abitibi,
61,2021-02-01,-9.2,-23.7,-7.1,,,,,Abitibi,
62,2021-03-01,-1.7,-11.9,1.4,,,,,Abitibi,
63,2021-04-01,8.1,-3.9,11.4,,,,,Abitibi,
64,2021-05-01,13.0,0.9,17.3,,,,,Abitibi,
65,2021-06-01,20.2,8.1,22.3,,,,,Abitibi,
66,2021-07-01,18.8,8.3,22.4,,,,,Abitibi,
67,2021-08-01,12.7,11.5,24.2,57.9,12.0,1014.1,,Abitibi,
68,2021-09-01,6.9,6.4,16.1,144.1,13.2,1012.8,,Abitibi,
69,2021-10-01,3.8,2.6,13.0,65.7,9.4,1015.2,,Abitibi,
70,2021-11-01,-5.8,-5.3,0.7,38.8,13.0,1014.3,,Abitibi,
71,2021-12-01,-14.0,-17.8,-6.2,90.4,12.2,1013.8,,Abitibi,
72,2022-01-01,-25.6,-29.6,-14.8,44.1,11.7,1019.8,,Abitibi,
73,2022-02-01,-25.5,-26.3,-10.5,63.1,11.7,1021.0,,Abitibi,
74,2022-03-01,-2.7,-14.4,-1.8,89.7,,,,Abitibi,
75,2022-04-01,-7.5,-4.7,6.0,79.5,11.8,1015.3,,Abitibi,
76,2022-05-01,1.6,4.1,18.8,66.0,11.5,1015.6,,Abitibi,
77,2022-06-01,10.0,8.3,21.6,135.5,12.2,1010.6,,Abitibi,
78,2022-07-01,11.7,10.2,23.3,120.8,12.3,1009.7,,Abitibi,
79,2022-08-01,12.0,10.3,22.9,67.4,10.6,1014.3,,Abitibi,
80,2022-09-01,8.8,6.0,17.2,79.7,11.1,1015.6,,Abitibi,
81,2022-10-01,3.0,3.2,11.2,111.8,13.4,1013.9,,Abitibi,
82,2022-11-01,-8.6,-4.9,2.3,115.5,14.0,1015.0,,Abitibi,
83,2022-12-01,-11.5,-12.8,-4.3,82.0,12.1,1017.2,,Abitibi,
84,2023-01-01,-20.5,-16.9,-7.5,14.8,10.8,1018.2,,Abitibi,
85,2023-02-01,-26.8,-18.8,-8.1,35.6,12.7,1015.6,,Abitibi,
86,2023-03-01,-1.1,,,,,,,Abitibi,
87,2023-04-01,-4.1,-3.5,6.0,105.0,13.1,1014.6,,Abitibi,
88,2023-05-01,2.5,2.5,16.4,51.3,13.0,1017.6,,Abitibi,
89,2023-06-01,10.1,11.2,24.1,51.2,11.4,1012.6,,Abitibi,
90,2023-07-01,15.8,13.0,23.4,67.1,10.4,1010.6,,Abitibi,
91,2023-08-01,12.4,10.8,20.9,100.8,11.1,1012.3,,Abitibi,
92,2023-09-01,7.4,9.2,20.3,123.4,11.0,1018.4,,Abitibi,
93,2023-10-01,2.8,4.3,11.1,164.1,13.1,1011.9,,Abitibi,
94,2023-11-01,-5.6,-9.1,-0.2,79.8,13.7,1015.1,,Abitibi,
95,2023-12-01,-11.5,-10.8,-3.0,20.8,11.8,1019.4,,Abitibi,
96,2016-01-01,-12.1,,,66.8,,,,Matawinie,
97,2016-02-01,-10.7,,,,,,,Matawinie,
98,2016-03-01,-10.7,,,,,,,Matawinie,
99,2016-04-01,0.8,,,64.3,,,,Matawinie,
100,2016-05-01,13.8,,,,,,,Matawinie,
101,2016-06-01,14.7,,,,,,,Matawinie,
102,2016-07-01,17.0,,,,,,,Matawinie,
103,2016-08-01,17.5,,,,,,,Matawinie,
104,2016-09-01,13.0,,,,,,,Matawinie,
105,2016-10-01,6.4,2.5,11.7,,,,,Matawinie,
106,2016-11-01,1.5,-0.9,5.7,,,,,Matawinie,
107,2016-12-01,-13.2,-12.2,-3.5,,,,,Matawinie,
108,2017-01-01,-13.2,-12.5,-3.0,,,,,Matawinie,
109,2017-02-01,-13.0,-12.9,-1.9,,,,,Matawinie,
110,2017-03-01,-11.6,-11.5,-0.8,,,,,Matawinie,
111,2017-04-01,0.5,0.5,10.8,,,,,Matawinie,
112,2017-05-01,9.9,6.4,16.7,,,,,Matawinie,
113,2017-06-01,14.7,11.1,23.4,,,,,Matawinie,
114,2017-07-01,18.0,12.8,25.4,,,,,Matawinie,
115,2017-08-01,15.2,11.5,23.7,,,,,Matawinie,
116,2017-09-01,14.4,10.1,22.8,,,,,Matawinie,
117,2017-10-01,7.4,4.3,16.3,187.1,,,,Matawinie,
118,2017-11-01,-3.3,-5.8,2.2,120.7,,,,Matawinie,
119,2017-12-01,-15.9,-16.2,-7.3,71.4,,,,Matawinie,
120,2018-01-01,-15.8,-18.2,-7.4,,,,,Matawinie,
121,2018-02-01,-14.4,-14.7,-1.8,,,,,Matawinie,
122,2018-03-01,-3.3,-6.9,3.1,,,,,Matawinie,
123,2018-04-01,-2.1,-4.4,6.4,,,,,Matawinie,
124,2018-05-01,9.6,4.9,21.2,,,,,Matawinie,
125,2018-06-01,15.3,9.9,24.1,,,,,Matawinie,
126,2018-07-01,20.0,14.8,28.8,,,,,Matawinie,
127,2018-08-01,19.8,14.1,26.8,,,,,Matawinie,
128,2018-09-01,11.8,8.7,20.9,92.9,,,,Matawinie,
129,2018-10-01,2.7,1.0,8.5,,,,,Matawinie,
130,2018-11-01,-5.9,-7.0,0.0,,,,,Matawinie,
131,2018-12-01,-13.0,-14.0,-4.1,,,,,Matawinie,
132,2019-01-01,-19.1,-19.1,-8.0,,,,,Matawinie,
133,2019-02-01,-17.7,-18.4,-4.3,,,,,Matawinie,
134,2019-03-01,-9.4,-12.7,1.1,,,,,Matawinie,
135,2019-04-01,-0.9,-2.5,7.8,,,,,Matawinie,
136,2019-05-01,7.4,,,,,,,Matawinie,
137,2019-06-01,14.8,8.7,22.7,,,,,Matawinie,
138,2019-07-01,21.0,13.9,27.8,,,,,Matawinie,
139,2019-08-01,16.3,11.2,24.9,,,,,Matawinie,
140,2019-09-01,11.3,7.6,19.0,71.7,,,,Matawinie,
141,2019-10-01,8.3,2.0,12.3,,,,,Matawinie,
142,2019-11-01,-5.8,-7.5,0.5,56.8,,,,Matawinie,
143,2019-12-01,-11.7,-11.0,-2.4,63.2,,,,Matawinie,
144,2020-01-01,-7.5,-13.2,-3.5,79.0,,,,Matawinie,
145,2020-02-01,-11.6,-15.9,-2.5,97.0,,,,Matawinie,
146,2020-03-01,-8.9,-7.5,3.8,56.0,,,,Matawinie,
147,2020-04-01,0.3,-3.1,8.3,,,,,Matawinie,
148,2020-05-01,8.2,4.2,19.1,,,,,Matawinie,
149,2020-06-01,16.5,10.1,24.9,,,,,Matawinie,
150,2020-07-01,19.7,15.6,28.0,,,,,Matawinie,
151,2020-08-01,18.8,12.4,23.6,142.7,,,,Matawinie,
152,2020-09-01,11.2,6.5,17.7,,,,,Matawinie,
153,2020-10-01,2.5,1.3,10.1,,,,,Matawinie,
154,2020-11-01,0.6,-3.4,5.7,,,,,Matawinie,
155,2020-12-01,-3.7,-8.6,-1.4,130.4,,,,Matawinie,
156,2021-01-01,-8.1,-11.6,-3.4,44.8,,,,Matawinie,
157,2021-02-01,-9.2,-16.7,-2.9,85.8,,,,Matawinie,
158,2021-03-01,-1.7,-8.7,3.8,83.7,,,,Matawinie,
159,2021-04-01,8.1,0.5,13.6,,,,,Matawinie,
160,2021-05-01,13.0,5.1,19.4,,,,,Matawinie,
161,2021-06-01,20.2,12.2,25.4,190.2,,,,Matawinie,
162,2021-07-01,18.8,12.8,24.8,73.9,,,,Matawinie,
163,2021-08-01,12.7,15.8,26.9,61.0,9.4,1015.7,,Matawinie,
164,2021-09-01,6.9,9.7,20.3,87.7,10.9,1013.9,,Matawinie,
165,2021-10-01,3.8,5.3,14.9,92.5,9.8,1015.4,,Matawinie,
166,2021-11-01,-5.8,-3.9,4.2,73.5,10.6,1015.8,,Matawinie,
167,2021-12-01,-14.0,-11.7,-2.8,95.5,10.9,1015.2,,Matawinie,
168,2022-01-01,-25.6,-22.2,-10.0,56.7,10.4,1018.8,,Matawinie,
169,2022-02-01,-25.5,-17.2,-4.5,75.5,11.9,1020.6,,Matawinie,
170,2022-03-01,-2.7,-8.9,1.3,115.8,,,,Matawinie,
171,2022-04-01,-7.5,-0.8,9.1,87.9,12.8,1014.7,,Matawinie,
172,2022-05-01,1.6,6.2,21.4,139.0,10.4,1016.5,,Matawinie,
173,2022-06-01,10.0,11.2,22.4,147.0,10.8,1012.0,,Matawinie,
174,2022-07-01,11.7,13.0,26.4,89.8,11.3,1010.9,,Matawinie,
175,2022-08-01,12.0,13.8,25.2,115.6,9.0,1014.7,,Matawinie,
176,2022-09-01,8.8,8.4,19.3,126.6,10.6,1015.0,,Matawinie,
177,2022-10-01,3.0,1.4,14.5,58.4,9.9,1017.0,,Matawinie,
178,2022-11-01,-8.6,-2.5,5.9,70.4,10.9,1016.7,,Matawinie,
179,2022-12-01,-11.5,-7.5,-0.9,139.8,13.3,1018.7,,Matawinie,
180,2023-01-01,-20.5,-10.7,-3.3,78.7,11.9,1016.5,,Matawinie,
