mrc,sector,date,total_kwh,tavg,sector_mrc
Abitibi,AGRICOLE,2016-01-01,704149.0,-6.9,AGRICOLEAbitibi
Matawinie,INDUSTRIEL,2016-01-01,2655697.0,-6.9,INDUSTRIELMatawinie
Matawinie,COMMERCIAL,2016-01-01,15849945.0,-6.9,COMMERCIALMatawinie
Matawinie,AGRICOLE,2016-01-01,2244435.0,-6.9,AGRICOLEMatawinie
Les Moulins,RÉSIDENTIEL,2016-01-01,176331911.0,-6.9,RÉSIDENTIELLes Moulins
Les Moulins,INSTITUTIONNEL,2016-01-01,10254080.0,-6.9,INSTITUTIONNELLes Moulins
Les Moulins,INDUSTRIEL,2016-01-01,10650534.1,-6.9,INDUSTRIELLes Moulins
Les Moulins,COMMERCIAL,2016-01-01,40923635.8,-6.9,COMMERCIALLes Moulins
Les Moulins,AGRICOLE,2016-01-01,564673.0,-6.9,AGRICOLELes Moulins
L'Assomption,RÉSIDENTIEL,2016-01-01,143884961.0,-6.9,RÉSIDENTIELL'Assomption
L'Assomption,INSTITUTIONNEL,2016-01-01,7028149.0,-6.9,INSTITUTIONNELL'Assomption
L'Assomption,INDUSTRIEL,2016-01-01,3376087.0,-6.9,INDUSTRIELL'Assomption
L'Assomption,COMMERCIAL,2016-01-01,26237836.0,-6.9,COMMERCIALL'Assomption
L'Assomption,AGRICOLE,2016-01-01,994629.0,-6.9,AGRICOLEL'Assomption
Joliette,RÉSIDENTIEL,2016-01-01,61592112.0,-6.9,RÉSIDENTIELJoliette
Joliette,INSTITUTIONNEL,2016-01-01,39114989.92415512,-6.9,INSTITUTIONNELJoliette
Joliette,INDUSTRIEL,2016-01-01,38072480.3,-6.9,INDUSTRIELJoliette
Joliette,COMMERCIAL,2016-01-01,11956601.0,-6.9,COMMERCIALJoliette
Joliette,AGRICOLE,2016-01-01,1993049.0,-6.9,AGRICOLEJoliette
D'Autray,RÉSIDENTIEL,2016-01-01,55945351.0,-6.9,RÉSIDENTIELD'Autray
Matawinie,INSTITUTIONNEL,2016-01-01,2985207.0,-6.9,INSTITUTIONNELMatawinie
Matawinie,RÉSIDENTIEL,2016-01-01,99302290.0,-6.9,RÉSIDENTIELMatawinie
Montcalm,AGRICOLE,2016-01-01,3965518.0,-6.9,AGRICOLEMontcalm
Montcalm,COMMERCIAL,2016-01-01,7704947.0,-6.9,COMMERCIALMontcalm
La Rivière-du-Nord,COMMERCIAL,2016-01-01,30617677.7,-6.9,COMMERCIALLa Rivière-du-Nord
La Rivière-du-Nord,AGRICOLE,2016-01-01,786132.0,-6.9,AGRICOLELa Rivière-du-Nord
Deux-Montagnes,RÉSIDENTIEL,2016-01-01,118971330.0,-6.9,RÉSIDENTIELDeux-Montagnes
Deux-Montagnes,INSTITUTIONNEL,2016-01-01,7281021.0,-6.9,INSTITUTIONNELDeux-Montagnes
Deux-Montagnes,INDUSTRIEL,2016-01-01,5770323.0,-6.9,INDUSTRIELDeux-Montagnes
