,tavg,tmin,tmax,prcp,wspd,pres,tsun,mrc
2016-10-01,5.4,0.9,9.8,38.8,14.8,1019.3,,Abitibi
2016-11-01,0.8,-2.5,4.0,60.2,14.6,,,Abitibi
2016-12-01,-11.4,-15.7,-7.1,45.9,13.4,1014.7,,Abitibi
2017-01-01,-12.2,-17.1,-7.4,35.4,,,,Abitibi
2017-02-01,-12.7,-19.0,-6.3,51.5,13.6,,,Abitibi
2017-03-01,-11.6,-18.9,-4.2,55.6,,,,Abitibi
2017-04-01,1.1,-4.4,6.6,85.9,15.4,1016.9,,Abitibi
2017-05-01,7.6,2.2,12.9,137.3,14.1,,,Abitibi
2017-06-01,14.1,7.6,20.5,53.1,,,,Abitibi
2017-07-01,16.2,8.4,23.9,69.6,11.2,1014.8,,Abitibi
2017-08-01,13.4,7.5,19.2,182.3,,,,Abitibi
2017-09-01,13.2,7.0,19.4,40.3,10.8,,,Abitibi
2017-10-01,8.0,2.9,13.2,99.8,9.0,,,Abitibi
2017-11-01,-6.3,-10.8,-1.6,26.4,,,,Abitibi
2017-12-01,-16.0,-20.5,-11.5,40.5,9.0,,,Abitibi
2018-01-01,-17.1,-22.8,-11.4,45.0,15.2,,,Abitibi
2018-02-01,-14.8,-21.9,-7.8,29.6,,,,Abitibi
2018-03-01,-7.7,-13.7,-2.2,21.4,,,,Abitibi
2018-04-01,-3.5,-10.5,2.0,89.0,,,,Abitibi
2018-05-01,10.3,1.7,17.8,64.4,14.3,,,Abitibi
2018-06-01,14.7,5.6,21.3,80.5,,,,Abitibi
2018-07-01,20.1,12.7,26.4,92.1,,,,Abitibi
2018-08-01,17.5,9.8,23.2,93.3,,,,Abitibi
2018-09-01,12.0,6.0,17.5,180.7,,,,Abitibi
2018-10-01,1.8,-2.3,3.9,151.5,,,,Abitibi
2018-11-01,-6.3,-10.5,-3.1,59.9,12.4,1016.6,,Abitibi
2018-12-01,-11.2,-15.4,-6.2,43.4,13.2,1018.4,,Abitibi
2019-01-01,-19.0,-26.3,-13.7,31.6,,,,Abitibi
2019-02-01,-10.5,-24.0,-10.0,93.6,8.2,,,Abitibi
2019-03-01,-9.0,-16.7,-3.3,27.9,,,,Abitibi
2019-04-01,-0.5,-6.0,4.0,107.0,14.7,1015.5,,Abitibi
2019-05-01,6.8,1.2,12.5,90.9,12.7,1015.5,,Abitibi
2019-06-01,14.5,6.4,20.8,134.3,13.1,,,Abitibi
2019-07-01,19.2,10.6,25.6,48.4,7.1,,,Abitibi
2019-08-01,16.4,8.6,22.0,82.6,6.8,1013.9,,Abitibi
2019-09-01,10.8,5.1,16.3,99.4,,,,Abitibi
2019-10-01,5.6,1.3,9.7,89.8,,,,Abitibi
2019-11-01,-6.6,-9.8,-3.6,64.3,,,,Abitibi
2019-12-01,-10.8,-16.8,-6.5,53.8,12.8,,,Abitibi
2020-01-01,-12.0,-17.8,-7.3,34.7,11.6,1019.8,,Abitibi
2020-02-01,-12.3,-17.7,-6.5,42.1,14.4,1014.8,,Abitibi
2020-03-01,-6.7,-13.3,0.2,75.9,,,,Abitibi
2020-04-01,-0.7,-7.1,4.9,59.8,13.1,1011.6,,Abitibi
2020-05-01,7.9,0.8,13.6,41.6,12.8,1016.7,,Abitibi
2020-06-01,15.9,7.9,21.8,89.2,11.0,1012.7,,Abitibi
2020-07-01,20.3,12.9,26.1,9.1,9.8,,,Abitibi
2020-08-01,16.3,8.7,21.6,65.6,10.7,1014.2,,Abitibi
2020-09-01,10.6,5.4,16.1,172.5,12.3,1015.2,,Abitibi
2020-10-01,1.9,-3.1,5.9,119.7,11.3,1017.1,,Abitibi
2020-11-01,0.1,-4.6,3.0,45.7,13.8,1015.3,,Abitibi
2020-12-01,-9.8,-15.8,-6.4,60.1,13.4,1015.5,,Abitibi
2021-01-01,-11.3,-16.1,-7.5,12.1,10.4,1019.0,,Abitibi
2021-02-01,-14.0,-23.7,-7.1,13.7,11.3,1020.6,,Abitibi
2021-03-01,-4.7,-11.9,1.4,42.0,,,,Abitibi
2021-04-01,4.9,-3.9,11.4,23.5,12.6,1013.6,,Abitibi
2021-05-01,9.5,0.9,17.3,60.8,11.8,1018.0,,Abitibi
2021-06-01,16.7,8.1,22.3,105.5,12.2,1011.4,,Abitibi
2021-07-01,16.7,8.3,22.4,81.1,10.9,1014.9,,Abitibi
2021-08-01,18.9,11.5,24.2,57.9,12.0,1014.1,,Abitibi
2021-09-01,12.4,6.4,16.1,144.1,13.2,1012.8,,Abitibi
2021-10-01,8.8,2.6,13.0,65.7,9.4,1015.2,,Abitibi
2021-11-01,-1.8,-5.3,0.7,38.8,13.0,1014.3,,Abitibi
2021-12-01,-10.9,-17.8,-6.2,90.4,12.2,1013.8,,Abitibi
2022-01-01,-20.6,-29.6,-14.8,44.1,11.7,1019.8,,Abitibi
2022-02-01,-16.1,-26.3,-10.5,63.1,11.7,1021.0,,Abitibi
2022-03-01,-7.2,-14.4,-1.8,89.7,,,,Abitibi
2022-04-01,0.5,-4.7,6.0,79.5,11.8,1015.3,,Abitibi
2022-05-01,11.3,4.1,18.8,66.0,11.5,1015.6,,Abitibi
2022-06-01,15.2,8.3,21.6,135.5,12.2,1010.6,,Abitibi
2022-07-01,17.0,10.2,23.3,120.8,12.3,1009.7,,Abitibi
2022-08-01,16.9,10.3,22.9,67.4,10.6,1014.3,,Abitibi
2022-09-01,12.2,6.0,17.2,79.7,11.1,1015.6,,Abitibi
2022-10-01,6.9,3.2,11.2,111.8,13.4,1013.9,,Abitibi
2022-11-01,-1.2,-4.9,2.3,115.5,14.0,1015.0,,Abitibi
2022-12-01,-8.2,-12.8,-4.3,82.0,12.1,1017.2,,Abitibi
2023-01-01,-12.1,-16.9,-7.5,14.8,10.8,1018.2,,Abitibi
2023-02-01,-13.3,-18.8,-8.1,35.6,12.7,1015.6,,Abitibi
2023-03-01,-6.4,-11.8,-0.9,54.4,,,,Abitibi
2023-04-01,1.1,-3.5,6.0,105.0,13.1,1014.6,,Abitibi
2023-05-01,9.6,2.5,16.4,51.3,13.0,1017.6,,Abitibi
2023-06-01,17.8,11.2,24.1,51.2,11.4,1012.6,,Abitibi
2023-07-01,18.2,13.0,23.4,67.1,10.4,1010.6,,Abitibi
2023-08-01,15.7,10.8,20.9,100.8,11.1,1012.3,,Abitibi
2023-09-01,14.3,9.2,20.3,123.4,11.0,1018.4,,Abitibi
2023-10-01,7.4,4.3,11.1,164.1,13.1,1011.9,,Abitibi
2023-11-01,-4.2,-9.1,-0.2,79.8,13.7,1015.1,,Abitibi
2023-12-01,-6.8,-10.8,-3.0,20.8,11.8,1019.4,,Abitibi
2016-01-01,-4.0,-8.3,0.3,20.5,9.3,1013.2,,Abitibi-Ouest
2016-02-01,2.5,-2.6,7.6,0.5,,,,Abitibi-Ouest
2016-03-01,3.0,-2.8,8.7,31.0,,,,Abitibi-Ouest
