MRC,SECTOR,month_rmse,month_mape
Abitibi,AGRICOLE,61889.80490544815,0.10360154125010507
Matawinie,INDUSTRIEL,1110371.9972326856,0.25571713296276327
Matawinie,COMMERCIAL,1187176.8131433679,0.0770011351470278
Matawinie,AGRICOLE,178428.59871921563,0.07688255412740362
Les Moulins,RÉSIDENTIEL,13099818.059816621,0.09886426928071856
Les Moulins,INSTITUTIONNEL,578302.691511835,0.05145785106903553
Les Moulins,INDUSTRIEL,465933.30113405135,0.03972566667739092
Les Moulins,COMMERCIAL,3486734.989380121,0.08014638243758988
Les Moulins,AGRICOLE,95900.50743097755,0.1878824758239924
L'Assomption,RÉSIDENTIEL,9325021.098314142,0.08586700369122648
L'Assomption,INSTITUTIONNEL,218870.08542556432,0.030373259039656302
L'Assomption,INDUSTRIEL,211575.9461380689,0.05829843146009985
L'Assomption,COMMERCIAL,906617.7036003957,0.028426282807010744
L'Assomption,AGRICOLE,135333.34481943678,0.15270212485160467
Joliette,RÉSIDENTIEL,4310858.993535491,0.09913893632613881
Joliette,INSTITUTIONNEL,2759031.211208498,0.06427551018800996
Joliette,INDUSTRIEL,2557146.158342651,0.07594246572118694
Joliette,COMMERCIAL,580073.0641224036,0.04604310811774224
Joliette,AGRICOLE,126733.14682678282,0.04679098339971594
D'Autray,RÉSIDENTIEL,4431545.306197268,0.11632752559647548
Matawinie,INSTITUTIONNEL,164814.0279875691,0.0730672644188604
Matawinie,RÉSIDENTIEL,8698298.39988625,0.13760148819947415
Montcalm,AGRICOLE,157666.4511627406,0.02970942038011824
Montcalm,COMMERCIAL,744001.0783875524,0.08205618217383871
La Rivière-du-Nord,COMMERCIAL,2006133.0664967336,0.07168484997242032
La Rivière-du-Nord,AGRICOLE,727415.4044234036,0.7261016459381812
Deux-Montagnes,RÉSIDENTIEL,8510339.382579332,0.10477129226455699
Deux-Montagnes,INSTITUTIONNEL,428677.12265761965,0.056390222210998875
Deux-Montagnes,INDUSTRIEL,520803.4174166432,0.07779401630229403
Deux-Montagnes,COMMERCIAL,872907.9652071916,0.03209367470889606
Deux-Montagnes,AGRICOLE,297606.6968902238,0.09391824254089205
Argenteuil,RÉSIDENTIEL,4364063.792954457,0.1352373606384651
Argenteuil,INSTITUTIONNEL,164078.21104200772,0.0728231441653474
