MRC,SECTOR,mean_temp__month_rmse,mean_temp__month_mape
Abitibi,AGRICOLE,,
Matawinie,INDUSTRIEL,,
Matawinie,COMMERCIAL,,
Matawinie,AGRICOLE,,
Les Moulins,RÉSIDENTIEL,,
Les Moulins,INSTITUTIONNEL,,
Les Moulins,INDUSTRIEL,,
Les Moulins,COMMERCIAL,,
Les Moulins,AGRICOLE,,
L'Assomption,RÉSIDENTIEL,,
L'Assomption,INSTITUTIONNEL,,
L'Assomption,INDUSTRIEL,,
L'Assomption,COMMERCIAL,,
L'Assomption,AGRICOLE,,
Joliette,RÉSIDENTIEL,,
Joliette,INSTITUTIONNEL,,
Joliette,INDUSTRIEL,,
Joliette,COMMERCIAL,,
Joliette,AGRICOLE,,
D'Autray,RÉSIDENTIEL,,
Matawinie,INSTITUTIONNEL,,
Matawinie,RÉSIDENTIEL,,
Montcalm,AGRICOLE,,
Montcalm,COMMERCIAL,,
La Rivière-du-Nord,COMMERCIAL,,
La Rivière-du-Nord,AGRICOLE,,
Deux-Montagnes,RÉSIDENTIEL,,
Deux-Montagnes,INSTITUTIONNEL,,
Deux-Montagnes,INDUSTRIEL,,
Deux-Montagnes,COMMERCIAL,,
Deux-Montagnes,AGRICOLE,,
Argenteuil,RÉSIDENTIEL,,
Argenteuil,INSTITUTIONNEL,,
D'Autray,INSTITUTIONNEL,,
Argenteuil,INDUSTRIEL,,
Argenteuil,AGRICOLE,,
Antoine-Labelle,RÉSIDENTIEL,,
Antoine-Labelle,INSTITUTIONNEL,,
Antoine-Labelle,INDUSTRIEL,,
Antoine-Labelle,COMMERCIAL,,
Antoine-Labelle,AGRICOLE,,
Montcalm,RÉSIDENTIEL,,
Montcalm,INSTITUTIONNEL,,
Montcalm,INDUSTRIEL,,
Argenteuil,COMMERCIAL,,
D'Autray,INDUSTRIEL,,
D'Autray,COMMERCIAL,,
D'Autray,AGRICOLE,,
Bonaventure,AGRICOLE,,
Avignon,RÉSIDENTIEL,,
Avignon,INSTITUTIONNEL,,
